,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF49E001,NAME_M,AF49M001
7679,G0600590063908,2012-2016,,,California,6,Orange County,59,,,63908,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 639.08, Orange County, California",80998.0,"Census Tract 639.08, Orange County, California",4332.0
7680,G0600590074003,2012-2016,,,California,6,Orange County,59,,,74003,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 740.03, Orange County, California",82196.0,"Census Tract 740.03, Orange County, California",9043.0
7681,G0600590074004,2012-2016,,,California,6,Orange County,59,,,74004,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 740.04, Orange County, California",59031.0,"Census Tract 740.04, Orange County, California",15062.0
7682,G0600590074005,2012-2016,,,California,6,Orange County,59,,,74005,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 740.05, Orange County, California",63716.0,"Census Tract 740.05, Orange County, California",8902.0
7683,G0600590074006,2012-2016,,,California,6,Orange County,59,,,74006,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 740.06, Orange County, California",51989.0,"Census Tract 740.06, Orange County, California",6690.0
7684,G0600590074102,2012-2016,,,California,6,Orange County,59,,,74102,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.02, Orange County, California",83073.0,"Census Tract 741.02, Orange County, California",7172.0
7685,G0600590074103,2012-2016,,,California,6,Orange County,59,,,74103,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.03, Orange County, California",73333.0,"Census Tract 741.03, Orange County, California",12579.0
7686,G0600590074106,2012-2016,,,California,6,Orange County,59,,,74106,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.06, Orange County, California",62800.0,"Census Tract 741.06, Orange County, California",3707.0
7687,G0600590074107,2012-2016,,,California,6,Orange County,59,,,74107,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.07, Orange County, California",63053.0,"Census Tract 741.07, Orange County, California",7575.0
7688,G0600590074108,2012-2016,,,California,6,Orange County,59,,,74108,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 741.08, Orange County, California",68899.0,"Census Tract 741.08, Orange County, California",5022.0
