,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
208,2017,2017,0,Total,104898,5717.0,"Census Tract 5091.08, Santa Clara County, CA",14000US06085509108
212,2017,2017,0,Total,157212,9470.0,"Census Tract 5091.09, Santa Clara County, CA",14000US06085509109
218,2017,2017,0,Total,123875,16187.0,"Census Tract 5092.01, Santa Clara County, CA",14000US06085509201
222,2017,2017,0,Total,129167,18567.0,"Census Tract 5092.02, Santa Clara County, CA",14000US06085509202
228,2017,2017,0,Total,118750,37970.0,"Census Tract 5093.02, Santa Clara County, CA",14000US06085509302
232,2017,2017,0,Total,74844,16669.0,"Census Tract 5093.03, Santa Clara County, CA",14000US06085509303
238,2017,2017,0,Total,122679,24524.0,"Census Tract 5093.04, Santa Clara County, CA",14000US06085509304
242,2017,2017,0,Total,94767,10359.0,"Census Tract 5094.01, Santa Clara County, CA",14000US06085509401
248,2017,2017,0,Total,98854,12815.0,"Census Tract 5094.03, Santa Clara County, CA",14000US06085509403
252,2017,2017,0,Total,121161,15086.999999999998,"Census Tract 5094.04, Santa Clara County, CA",14000US06085509404
258,2017,2017,0,Total,94750,19976.0,"Census Tract 5095, Santa Clara County, CA",14000US06085509500
262,2017,2017,0,Total,153828,27829.000000000004,"Census Tract 5096, Santa Clara County, CA",14000US06085509600
268,2017,2017,0,Total,134420,17091.0,"Census Tract 5097, Santa Clara County, CA",14000US06085509700
272,2017,2017,0,Total,129063,21698.0,"Census Tract 5098.01, Santa Clara County, CA",14000US06085509801
278,2017,2017,0,Total,166319,27131.000000000004,"Census Tract 5098.02, Santa Clara County, CA",14000US06085509802
282,2017,2017,0,Total,166184,38224.0,"Census Tract 5099.01, Santa Clara County, CA",14000US06085509901
288,2017,2017,0,Total,145375,30356.0,"Census Tract 5099.02, Santa Clara County, CA",14000US06085509902
292,2017,2017,0,Total,210000,50084.0,"Census Tract 5100.01, Santa Clara County, CA",14000US06085510001
298,2017,2017,0,Total,212669,28776.000000000004,"Census Tract 5100.02, Santa Clara County, CA",14000US06085510002
302,2017,2017,0,Total,163542,28486.000000000004,"Census Tract 5101, Santa Clara County, CA",14000US06085510100
308,2017,2017,0,Total,250001,,"Census Tract 5102, Santa Clara County, CA",14000US06085510200
312,2017,2017,0,Total,187109,17511.0,"Census Tract 5103, Santa Clara County, CA",14000US06085510300
318,2017,2017,0,Total,237961,41509.0,"Census Tract 5104, Santa Clara County, CA",14000US06085510400
322,2017,2017,0,Total,194464,26079.0,"Census Tract 5105, Santa Clara County, CA",14000US06085510500
328,2017,2017,0,Total,128030,23812.0,"Census Tract 5106, Santa Clara County, CA",14000US06085510600
332,2017,2017,0,Total,115000,27262.0,"Census Tract 5107, Santa Clara County, CA",14000US06085510700
338,2017,2017,0,Total,170603,28710.0,"Census Tract 5108.01, Santa Clara County, CA",14000US06085510801
342,2017,2017,0,Total,194500,38790.0,"Census Tract 5108.02, Santa Clara County, CA",14000US06085510802
348,2017,2017,0,Total,128333,16888.0,"Census Tract 5108.03, Santa Clara County, CA",14000US06085510803
352,2017,2017,0,Total,131538,37301.0,"Census Tract 5109, Santa Clara County, CA",14000US06085510900
358,2017,2017,0,Total,171235,17148.0,"Census Tract 5110, Santa Clara County, CA",14000US06085511000
362,2017,2017,0,Total,233750,47072.0,"Census Tract 5111, Santa Clara County, CA",14000US06085511100
368,2017,2017,0,Total,245380,49817.0,"Census Tract 5112, Santa Clara County, CA",14000US06085511200
370,2017,2017,0,Total,99605,20311.0,"Census Tract 5113.01, Santa Clara County, CA",14000US06085511301
364,2017,2017,0,Total,93792,28232.0,"Census Tract 5113.02, Santa Clara County, CA",14000US06085511302
360,2017,2017,0,Total,195294,36876.0,"Census Tract 5114, Santa Clara County, CA",14000US06085511400
354,2017,2017,0,Total,154917,29130.0,"Census Tract 5115, Santa Clara County, CA",14000US06085511500
350,2017,2017,0,Total,37250,9396.0,"Census Tract 5116.08, Santa Clara County, CA",14000US06085511608
344,2017,2017,0,Total,98083,15804.999999999998,"Census Tract 5116.09, Santa Clara County, CA",14000US06085511609
340,2017,2017,0,Total,249750,13568.0,"Census Tract 5117.01, Santa Clara County, CA",14000US06085511701
334,2017,2017,0,Total,232917,20141.0,"Census Tract 5117.02, Santa Clara County, CA",14000US06085511702
330,2017,2017,0,Total,236563,38939.0,"Census Tract 5117.04, Santa Clara County, CA",14000US06085511704
324,2017,2017,0,Total,188125,63875.0,"Census Tract 5117.05, Santa Clara County, CA",14000US06085511705
320,2017,2017,0,Total,152692,31461.0,"Census Tract 5117.07, Santa Clara County, CA",14000US06085511707
314,2017,2017,0,Total,145486,13539.0,"Census Tract 5118, Santa Clara County, CA",14000US06085511800
310,2017,2017,0,Total,138942,12644.0,"Census Tract 5119.05, Santa Clara County, CA",14000US06085511905
304,2017,2017,0,Total,147241,26768.0,"Census Tract 5119.07, Santa Clara County, CA",14000US06085511907
300,2017,2017,0,Total,215667,28718.0,"Census Tract 5119.09, Santa Clara County, CA",14000US06085511909
294,2017,2017,0,Total,186146,46948.0,"Census Tract 5119.10, Santa Clara County, CA",14000US06085511910
290,2017,2017,0,Total,125694,23608.0,"Census Tract 5119.11, Santa Clara County, CA",14000US06085511911
284,2017,2017,0,Total,177778,19825.0,"Census Tract 5119.12, Santa Clara County, CA",14000US06085511912
280,2017,2017,0,Total,183281,27779.000000000004,"Census Tract 5119.13, Santa Clara County, CA",14000US06085511913
274,2017,2017,0,Total,155556,26933.0,"Census Tract 5119.14, Santa Clara County, CA",14000US06085511914
270,2017,2017,0,Total,66667,15055.0,"Census Tract 5119.15, Santa Clara County, CA",14000US06085511915
264,2017,2017,0,Total,124922,21286.0,"Census Tract 5119.16, Santa Clara County, CA",14000US06085511916
260,2017,2017,0,Total,180565,24865.0,"Census Tract 5120.01, Santa Clara County, CA",14000US06085512001
254,2017,2017,0,Total,119054,17945.0,"Census Tract 5120.05, Santa Clara County, CA",14000US06085512005
250,2017,2017,0,Total,78324,15789.999999999998,"Census Tract 5120.17, Santa Clara County, CA",14000US06085512017
244,2017,2017,0,Total,106955,9580.0,"Census Tract 5120.19, Santa Clara County, CA",14000US06085512019
240,2017,2017,0,Total,86792,7114.0,"Census Tract 5120.20, Santa Clara County, CA",14000US06085512020
234,2017,2017,0,Total,101375,20738.0,"Census Tract 5120.21, Santa Clara County, CA",14000US06085512021
230,2017,2017,0,Total,69618,15066.000000000002,"Census Tract 5120.22, Santa Clara County, CA",14000US06085512022
224,2017,2017,0,Total,75307,11129.0,"Census Tract 5120.23, Santa Clara County, CA",14000US06085512023
220,2017,2017,0,Total,98875,15268.0,"Census Tract 5120.24, Santa Clara County, CA",14000US06085512024
214,2017,2017,0,Total,108295,17825.0,"Census Tract 5120.25, Santa Clara County, CA",14000US06085512025
210,2017,2017,0,Total,98032,12346.0,"Census Tract 5120.26, Santa Clara County, CA",14000US06085512026
204,2017,2017,0,Total,92625,28067.0,"Census Tract 5120.27, Santa Clara County, CA",14000US06085512027
200,2017,2017,0,Total,118377,11399.0,"Census Tract 5120.29, Santa Clara County, CA",14000US06085512029
194,2017,2017,0,Total,143929,12480.0,"Census Tract 5120.30, Santa Clara County, CA",14000US06085512030
190,2017,2017,0,Total,115526,16311.0,"Census Tract 5120.31, Santa Clara County, CA",14000US06085512031
184,2017,2017,0,Total,116581,27362.0,"Census Tract 5120.32, Santa Clara County, CA",14000US06085512032
180,2017,2017,0,Total,116790,13494.0,"Census Tract 5120.33, Santa Clara County, CA",14000US06085512033
